tract,NAME,pop19,white19,income19,rent19,bachplus19,state,county,GEOID
000704,"Census Tract 7.04, Suffolk County, Massachusetts",4688,4161,63761,1825,0.7976226760134105,25,025,25025000704
000803,"Census Tract 8.03, Suffolk County, Massachusetts",5852,5146,54821,2380,0.9429700734048561,25,025,25025000803
130406,"Census Tract 1304.06, Suffolk County, Massachusetts",6084,4880,53265,1223,0.3126430933604681,25,025,25025130406
140106,"Census Tract 1401.06, Suffolk County, Massachusetts",2299,1588,32056,1026,0.19306930693069307,25,025,25025140106
140107,"Census Tract 1401.07, Suffolk County, Massachusetts",2912,2019,82750,1111,0.38746438746438744,25,025,25025140107
080900,"Census Tract 809, Suffolk County, Massachusetts",3586,3204,61528,2264,0.7445795875198308,25,025,25025080900
081400,"Census Tract 814, Suffolk County, Massachusetts",2924,2526,55909,1637,0.4795353982300885,25,025,25025081400
081800,"Census Tract 818, Suffolk County, Massachusetts",3300,2114,30767,805,0.21640316205533597,25,025,25025081800
090300,"Census Tract 903, Suffolk County, Massachusetts",3095,2015,30975,1038,0.15549295774647887,25,025,25025090300
092300,"Census Tract 923, Suffolk County, Massachusetts",3443,2477,55469,1458,0.18825722273998136,25,025,25025092300
160400,"Census Tract 1604, Suffolk County, Massachusetts",3276,1151,58967,1466,0.23519458544839256,25,025,25025160400
160200,"Census Tract 1602, Suffolk County, Massachusetts",4151,414,49688,1513,0.09832036050798854,25,025,25025160200
170400,"Census Tract 1704, Suffolk County, Massachusetts",5041,3620,52474,1124,0.24411846111264876,25,025,25025170400
080100,"Census Tract 801, Suffolk County, Massachusetts",2749,2000,32258,1192,0.2012987012987013,25,025,25025080100
120400,"Census Tract 1204, Suffolk County, Massachusetts",6511,5815,103016,1642,0.7671741552172299,25,025,25025120400
120700,"Census Tract 1207, Suffolk County, Massachusetts",2243,1882,96711,1846,0.7669256381798002,25,025,25025120700
140201,"Census Tract 1402.01, Suffolk County, Massachusetts",2454,1930,81063,1403,0.2896739130434783,25,025,25025140201
000402,"Census Tract 4.02, Suffolk County, Massachusetts",3700,3328,94063,1939,0.8112781954887218,25,025,25025000402
000601,"Census Tract 6.01, Suffolk County, Massachusetts",3798,3431,87500,1849,0.6672337529772031,25,025,25025000601
030200,"Census Tract 302, Suffolk County, Massachusetts",1678,1582,95703,1934,0.7901146131805158,25,025,25025030200
030500,"Census Tract 305, Suffolk County, Massachusetts",2492,2334,117500,2118,0.783608195902049,25,025,25025030500
040200,"Census Tract 402, Suffolk County, Massachusetts",1975,1543,65500,861,0.5265180630284396,25,025,25025040200
050200,"Census Tract 502, Suffolk County, Massachusetts",5713,1856,60739,1547,0.2919418758256275,25,025,25025050200
050300,"Census Tract 503, Suffolk County, Massachusetts",2803,1609,26842,693,0.2639237330657301,25,025,25025050300
050600,"Census Tract 506, Suffolk County, Massachusetts",2481,924,67841,1482,0.31091510474090406,25,025,25025050600
070300,"Census Tract 703, Suffolk County, Massachusetts",4450,4137,115887,1608,0.8067385444743935,25,025,25025070300
