GEOID,income,rent,pct_white,high_ed,gent_index
250251008002,2.0,1.0,2.0,1.0,6.0
250251008003,5.0,5.0,3.0,4.0,17.0
250251008004,2.0,4.0,1.0,4.0,11.0
250251008005,5.0,,2.0,5.0,
250251008006,3.0,1.0,3.0,4.0,11.0
250251009001,5.0,1.0,4.0,5.0,15.0
250251009002,5.0,,4.0,5.0,
250251009003,4.0,2.0,2.0,5.0,13.0
250251009004,5.0,5.0,3.0,1.0,14.0
250251009005,4.0,1.0,4.0,4.0,13.0
250251010011,,,5.0,1.0,
250251010012,,1.0,3.0,5.0,
250251010013,1.0,1.0,2.0,4.0,8.0
250251010014,1.0,5.0,1.0,1.0,8.0
250251010015,5.0,2.0,1.0,4.0,12.0
250251010016,5.0,2.0,3.0,2.0,12.0
250251010021,2.0,5.0,5.0,1.0,13.0
250251010022,4.0,5.0,5.0,4.0,18.0
250251010023,4.0,2.0,4.0,5.0,15.0
250251011011,1.0,1.0,3.0,5.0,10.0
250251011012,1.0,2.0,4.0,5.0,12.0
250251011013,1.0,5.0,5.0,3.0,14.0
250251011021,4.0,2.0,4.0,4.0,14.0
250251011022,5.0,4.0,4.0,5.0,18.0
250251011023,2.0,4.0,4.0,2.0,12.0
250251011024,1.0,3.0,2.0,3.0,9.0
250251101031,3.0,4.0,4.0,2.0,13.0
250251101032,2.0,4.0,5.0,3.0,14.0
250251101033,,5.0,1.0,4.0,
250251101034,2.0,4.0,1.0,2.0,9.0
250251101035,4.0,4.0,4.0,4.0,16.0
250251101036,1.0,,3.0,2.0,
250251101037,5.0,,5.0,4.0,
250251102011,2.0,1.0,4.0,3.0,10.0
250251103011,1.0,4.0,4.0,2.0,11.0
250251103012,2.0,3.0,4.0,4.0,13.0
250251104011,2.0,4.0,1.0,4.0,11.0
250251104012,3.0,4.0,5.0,4.0,16.0
250251104031,4.0,3.0,1.0,5.0,13.0
250251104032,5.0,4.0,5.0,4.0,18.0
250251104033,3.0,5.0,2.0,1.0,11.0
250251104034,3.0,5.0,5.0,2.0,15.0
250251104035,2.0,3.0,5.0,4.0,14.0
250251105011,1.0,1.0,5.0,2.0,9.0
250251105012,3.0,4.0,2.0,3.0,12.0
250251105013,2.0,5.0,5.0,2.0,14.0
250251105021,4.0,4.0,2.0,4.0,14.0
250251105022,3.0,5.0,1.0,1.0,10.0
250251105023,,4.0,5.0,1.0,
250251106011,2.0,1.0,2.0,3.0,8.0
250251106012,3.0,2.0,2.0,3.0,10.0
250251106071,3.0,4.0,2.0,1.0,10.0
250251106072,3.0,3.0,5.0,3.0,14.0
250251106073,3.0,3.0,4.0,4.0,14.0
250251106074,4.0,2.0,4.0,4.0,14.0
250251201031,3.0,3.0,3.0,2.0,11.0
250251201041,3.0,3.0,4.0,3.0,13.0
250251201042,3.0,5.0,5.0,1.0,14.0
250251201043,4.0,4.0,5.0,2.0,15.0
250251201051,3.0,,4.0,3.0,
250251201052,2.0,,4.0,3.0,
250251201053,2.0,4.0,2.0,3.0,11.0
250251202011,4.0,3.0,2.0,2.0,11.0
250251202012,3.0,2.0,5.0,3.0,13.0
250251202013,1.0,4.0,5.0,4.0,14.0
250251203011,5.0,5.0,4.0,4.0,18.0
250251203012,5.0,1.0,5.0,2.0,13.0
250251203013,1.0,3.0,2.0,1.0,7.0
250251203014,2.0,2.0,1.0,1.0,6.0
250251204001,4.0,5.0,3.0,4.0,16.0
250251204002,2.0,1.0,4.0,2.0,9.0
250251204003,3.0,1.0,3.0,3.0,10.0
250251204004,4.0,2.0,4.0,2.0,12.0
250251204005,1.0,1.0,5.0,3.0,10.0
250251205001,4.0,3.0,2.0,3.0,12.0
250251205002,3.0,2.0,2.0,4.0,11.0
250251205003,4.0,1.0,3.0,4.0,12.0
250251206001,3.0,5.0,2.0,1.0,11.0
250251206002,2.0,3.0,2.0,2.0,9.0
250251206003,3.0,3.0,2.0,3.0,11.0
250251207001,3.0,2.0,2.0,1.0,8.0
250251207002,2.0,2.0,3.0,2.0,9.0
250251301001,2.0,,3.0,2.0,
250251301002,4.0,2.0,2.0,3.0,11.0
250251301003,5.0,,3.0,5.0,
250251301004,5.0,,2.0,1.0,
250251301005,4.0,,3.0,1.0,
250251301006,1.0,,4.0,4.0,
250251301007,5.0,,3.0,2.0,
250251302001,1.0,3.0,2.0,1.0,7.0
250251302002,3.0,1.0,4.0,4.0,12.0
250251302003,2.0,2.0,5.0,4.0,13.0
250251302004,4.0,4.0,2.0,4.0,14.0
250251302005,2.0,4.0,4.0,2.0,12.0
250251303001,3.0,,3.0,3.0,
250251303002,2.0,2.0,2.0,2.0,8.0
250251303003,2.0,,4.0,2.0,
250251303004,2.0,4.0,4.0,4.0,14.0
250251303005,2.0,,4.0,2.0,
250251304021,,1.0,5.0,2.0,
250251304022,5.0,,5.0,2.0,
250251304023,1.0,3.0,3.0,2.0,9.0
250251304024,4.0,,1.0,1.0,
250251304025,5.0,,2.0,4.0,
250251304041,2.0,3.0,5.0,1.0,11.0
250251304042,3.0,5.0,4.0,3.0,15.0
250251304043,1.0,,4.0,1.0,
250251304061,3.0,5.0,5.0,4.0,17.0
250251304062,3.0,3.0,3.0,3.0,12.0
250251304063,5.0,,1.0,4.0,
250251401021,4.0,4.0,3.0,5.0,16.0
250251401022,3.0,1.0,1.0,2.0,7.0
250251401023,5.0,5.0,5.0,4.0,19.0
250251401024,4.0,1.0,4.0,3.0,12.0
250251401051,2.0,5.0,3.0,1.0,11.0
250251401052,4.0,4.0,1.0,3.0,12.0
250251401061,3.0,4.0,4.0,1.0,12.0
250251401062,3.0,4.0,1.0,1.0,9.0
250251401071,3.0,2.0,2.0,2.0,9.0
250251401072,3.0,1.0,5.0,4.0,13.0
250251402011,1.0,2.0,5.0,1.0,9.0
250251402012,2.0,4.0,1.0,1.0,8.0
250251402021,2.0,,5.0,5.0,
250251402022,3.0,1.0,2.0,1.0,7.0
250251402023,1.0,2.0,4.0,3.0,10.0
250251402024,1.0,4.0,1.0,1.0,7.0
250251402025,2.0,,4.0,3.0,
250251403001,1.0,,2.0,1.0,
250251403002,2.0,,1.0,2.0,
