tract,NAME,pop14,white14,income14,rent14,state,county,GEOID
090200,"Census Tract 902, Suffolk County, Massachusetts",2526,1265,23067,809,25,025,25025090200
090700,"Census Tract 907, Suffolk County, Massachusetts",4547,3760,51667,1229,25,025,25025090700
091200,"Census Tract 912, Suffolk County, Massachusetts",3167,2405,70798,1119,25,025,25025091200
100300,"Census Tract 1003, Suffolk County, Massachusetts",3412,2857,48320,1219,25,025,25025100300
101101,"Census Tract 1011.01, Suffolk County, Massachusetts",3723,2967,59277,1451,25,025,25025101101
130300,"Census Tract 1303, Suffolk County, Massachusetts",4695,4396,112262,1355,25,025,25025130300
140102,"Census Tract 1401.02, Suffolk County, Massachusetts",4779,3987,63607,1332,25,025,25025140102
130200,"Census Tract 1302, Suffolk County, Massachusetts",5049,4650,103476,1580,25,025,25025130200
100601,"Census Tract 1006.01, Suffolk County, Massachusetts",5406,4959,58426,1211,25,025,25025100601
100700,"Census Tract 1007, Suffolk County, Massachusetts",4469,4367,71367,1253,25,025,25025100700
101102,"Census Tract 1011.02, Suffolk County, Massachusetts",5140,4467,36000,1275,25,025,25025101102
060600,"Census Tract 606, Suffolk County, Massachusetts",2538,2505,110109,2001,25,025,25025060600
070900,"Census Tract 709, Suffolk County, Massachusetts",3205,2558,71000,1495,25,025,25025070900
092400,"Census Tract 924, Suffolk County, Massachusetts",5593,4129,30360,964,25,025,25025092400
030100,"Census Tract 301, Suffolk County, Massachusetts",2186,2157,68350,1626,25,025,25025030100
000602,"Census Tract 6.02, Suffolk County, Massachusetts",3448,2905,26165,1184,25,025,25025000602
082100,"Census Tract 821, Suffolk County, Massachusetts",5013,3232,16599,429,25,025,25025082100
060200,"Census Tract 602, Suffolk County, Massachusetts",2254,2242,97305,1563,25,025,25025060200
090400,"Census Tract 904, Suffolk County, Massachusetts",3413,2309,35125,985,25,025,25025090400
120500,"Census Tract 1205, Suffolk County, Massachusetts",2372,1522,65712,1435,25,025,25025120500
101001,"Census Tract 1010.01, Suffolk County, Massachusetts",5731,5339,46733,1141,25,025,25025101001
140300,"Census Tract 1403, Suffolk County, Massachusetts",6343,4799,50703,980,25,025,25025140300
180400,"Census Tract 1804, Suffolk County, Massachusetts",1944,1811,82361,1284,25,025,25025180400
981000,"Census Tract 9810, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981000
981100,"Census Tract 9811, Suffolk County, Massachusetts",476,388,12813,1219,25,025,25025981100
981201,"Census Tract 9812.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981201
981202,"Census Tract 9812.02, Suffolk County, Massachusetts",147,147,-666666666,-666666666,25,025,25025981202
981300,"Census Tract 9813, Suffolk County, Massachusetts",480,307,82788,1896,25,025,25025981300
981501,"Census Tract 9815.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981501
981502,"Census Tract 9815.02, Suffolk County, Massachusetts",0,0,-666666666,-666666666,25,025,25025981502
